17	Wisconsin 5	B10	22-13	+20.76	120.1	11	99.4	47	65.2	308	-.031	267	+14.27	2	113.4	6	99.1	2	+6.14	50
18	Saint Mary's 5	WCC	26-7	+20.28	115.2	42	94.9	14	62.0	358	+.020	130	+3.53	108	108.4	103	104.9	130	+5.70	58
19	BYU 6	B12	23-11	+20.03	119.8	13	99.7	53	69.1	89	-.048	294	+9.50	56	110.3	80	100.8	17	-5.34	328
20	San Diego St. 5	MWC	24-10	+20.00	113.8	55	93.8	9	66.0	267	-.032	270	+11.45	18	112.8	12	101.3	41	+11.01	9
21	New Mexico 11	MWC	26-9	+19.21	115.7	39	96.5	22	72.8	8	-.021	245	+7.23	85	110.2	83	103.0	86	-0.11	207
22	Colorado 10	P12	25-10	+19.18	117.4	25	98.2	34	67.4	186	+.017	143	+8.92	70	110.6	72	101.7	58	-1.22	241
23	Kentucky 3	SEC	23-10	+18.94	122.1	6	103.2	115	72.6	13	-.040	285	+8.82	73	111.2	55	102.4	72	-0.03	205
24	Kansas 4	B12	23-10	+18.67	113.5	63	94.8	13	69.2	84	+.058	51	+13.33	6	112.7	13	99.4	3	+5.18	68
25	Texas 7	B12	21-12	+18.61	117.2	27	98.6	39	67.3	195	-.029	264	+10.48	34	111.2	54	100.7	16	-3.00	280
26	Nebraska 8	B10	23-10	+18.37	115.9	33	97.6	31	68.7	104	+.014	149	+9.40	61	111.0	61	101.6	52	-5.02	319
29	Florida 7	SEC	24-11	+17.88	119.2	16	101.3	86	71.8	18	-.007	201	+10.52	33	112.2	27	101.6	56	+2.17	133
30	Dayton 7	A10	25-7	+17.63	118.2	21	100.5	70	64.3	336	+.012	156	+6.63	87	109.1	95	102.4	75	+7.12	37
31	Colorado St. 10	MWC	25-11	+17.43	114.2	49	96.7	24	66.1	266	-.026	255	+9.95	45	112.3	23	102.3	70	+6.20	48
32	Texas Tech 6	B12	23-11	+17.29	117.3	26	100.0	58	66.7	234	+.034	101	+10.41	35	111.2	53	100.8	18	-2.46	268
33	Clemson 6	ACC	21-11	+17.03	117.5	24	100.4	66	66.2	260	-.022	246	+10.28	37	112.3	21	102.0	68	+5.19	67
34	Nevada 10	MWC	26-8	+16.93	115.3	41	98.3	35	66.7	232	+.043	85	+6.50	88	110.1	85	103.6	93	-0.89	230
35	TCU 9	B12	21-12	+16.91	114.9	45	98.0	32	69.8	63	-.049	296	+9.59	53	110.5	76	100.9	20	-8.25	357
36	Mississippi St. 8	SEC	21-14	+16.87	112.9	70	96.0	21	67.0	211	-.037	278	+11.39	19	112.6	15	101.2	35	+0.93	170
37	Washington St. 7	P12	25-9	+16.77	113.3	67	96.5	23	65.0	313	+.028	110	+7.73	84	110.3	81	102.6	80	-4.84	314
39	Boise St. 10	MWC	22-11	+16.35	113.5	62	97.1	30	66.6	241	-.002	189	+10.15	41	111.4	48	101.2	36	+8.18	24
40	Florida Atlantic 8	Amer	25-8	+16.35	118.9	17	102.6	106	68.1	138	-.011	216	+5.49	95	109.5	91	104.0	100	+6.69	42
42	Northwestern 9	B10	21-11	+16.12	116.8	30	100.6	73	63.8	342	+.008	166	+10.04	44	111.9	33	101.8	64	-7.27	355
45	Texas A&M 9	SEC	20-14	+15.75	115.8	38	100.0	56	65.9	270	-.025	254	+11.21	21	112.6	16	101.4	45	+5.30	66
48	Utah St. 8	MWC	27-6	+15.38	115.8	37	100.5	67	68.6	107	+.100	14	+6.39	89	109.5	93	103.1	88	+2.14	134
50	Drake 10	MVC	28-7	+14.65	115.1	43	100.4	63	68.0	149	+.051	63	+3.30	112	108.1	109	104.8	128	-1.06	234
51	Oregon 11	P12	24-11	+14.50	115.0	44	100.5	69	67.4	181	+.047	71	+9.71	51	111.1	58	101.4	46	+0.08	204
53	Grand Canyon 12	WAC	29-4	+14.11	113.5	61	99.4	49	68.2	135	+.022	122	-1.11	206	104.3	274	105.4	146	-1.35	247
54	South Carolina 6	SEC	26-8	+14.05	114.6	47	100.6	71	63.1	351	+.144	4	+7.77	83	110.5	77	102.7	82	-5.85	337
55	N.C. State 11	ACC	23-14	+13.87	114.7	46	100.9	77	68.1	139	+.002	177	+9.77	49	111.1	57	101.4	43	-4.85	315
59	James Madison 12	SB	31-3	+12.88	113.8	54	100.9	80	69.6	71	+.027	114	-4.37	293	103.4	294	107.8	270	-6.51	342
66	McNeese St. 12	Slnd	30-4	+11.80	113.4	65	101.6	91	65.8	276	+.032	105	-6.11	331	102.7	314	108.8	331	+4.75	75
72	Virginia 10	ACC	23-11	+11.22	104.7	209	93.4	8	60.1	362	+.108	12	+8.70	76	111.5	46	102.8	84	-1.02	233
80	Duquesne 11	A10	25-11	+10.07	107.2	157	97.1	29	66.4	251	+.056	55	+5.57	94	109.5	92	103.9	98	+1.97	138
